MCD/AD,TOTAL_ADJ,WHITE_ADJ,BLACK_ADJ,AMIND_ADJ,ASIAN_ADJ,HWN_ADJ,MULTI_ADJ,OTHER_ADJ,UNKNOWN_ADJ,HISP_ADJ,NHISP_ADJ,employed_E,employed_M,unemployed_E,unemployed_M,not_in_lf_E,not_in_lf_M,solo_car_E,solo_car_M,wfh_E,wfh_M,kids_u6_E,kids_u6_M,kids_6_17_E,kids_6_17_M,inc_lt25k_E,inc_lt25k_M,inc_25_49k_E,inc_25_49k_M,inc_50_74k_E,inc_50_74k_M,inc_75_99k_E,inc_75_99k_M,inc_100_149k_E,inc_100_149k_M,inc_150kplus_E,inc_150kplus_M,commute_noncar_E,commute_noncar_M,female_65plus_E,female_65plus_M,female_u18_E,female_u18_M,female_total_E,female_total_M,female_18plus_E,female_18plus_M,female_19_24_E,female_19_24_M,female_25_34_E,female_25_34_M,female_35_49_E,female_35_49_M,female_50_64_E,female_50_64_M,male_65plus_E,male_65plus_M,male_u18_E,male_u18_M,male_total_E,male_total_M,male_18plus_E,male_18plus_M,male_19_24_E,male_19_24_M,male_25_34_E,male_25_34_M,male_35_49_E,male_35_49_M,male_50_64_E,male_50_64_M,X,Harris.Walz,Trump.Vance,Mamdani,Sliwa.Cuomo,Cuomo,total_pop_E,total_pop_M
54,133197,20231,33815,1966,12810,129,18643,45600,3,67964,65233,58778,2222,4268,689,37061,2237,13930,1059,7251,1018,8049,989,17258,1690,9384,1073,7061,750,6680,720,5222,573,6648,654,7067,628,36229,1846,9255,915,6423,752,63407,2874,50401,2029,5134,620,11820,1086,12409,928,10494,908,6726,844,5783,678,60368,2654,46739,2199,4483,624,11527,987,11400,1091,11303,975,32,22030,6596,14957,5993,5174,123775,4638
55,136674,10357,92316,1063,2658,141,13529,16603,7,32127,104542,53737,2196,7183,1164,44859,2367,8546,1033,4200,631,10036,1190,19013,1721,16667,1313,9874,1022,6801,865,5868,925,6521,816,4677,573,38885,2108,9933,859,6049,719,74448,2609,59033,1989,4819,730,13750,1159,15357,1308,13944,1110,6258,792,6204,920,59394,2501,43386,2048,4803,839,10168,1042,9663,988,11093,1139,33,30246,3074,13281,6498,6076,133842,4224
56,138218,28730,76869,861,5356,99,13508,12791,4,25412,112804,71071,2719,6527,897,40844,2313,9115,858,13235,1140,8155,1063,16869,1396,13694,1195,8921,913,7340,749,6713,744,9110,900,12985,829,46587,2232,10287,1004,6849,798,77635,2790,64488,2227,5723,700,17753,1097,16064,1140,13535,1147,6121,659,5409,597,64933,2226,50899,1839,4261,594,15512,1187,14072,1026,9785,935,34,40570,3814,28087,7464,6897,142568,3793
57,149775,57415,53075,599,14397,92,15027,9168,2,20687,129085,73795,2067,6139,651,32772,1597,7802,738,18383,1220,11305,1182,16945,1217,9988,817,6833,764,6662,781,5015,550,9636,818,20260,1089,46084,1933,10149,885,6588,698,76013,2241,61540,1937,4880,664,19077,1202,16213,1020,9513,809,5902,647,4183,615,63465,2100,48780,1698,3014,503,15519,1040,14864,979,8312,833,35,48809,4435,36090,8609,7982,139478,3337
58,131845,3782,109016,401,2131,55,11645,4814,1,9819,122024,56770,2222,5421,732,37733,1521,14517,1009,3627,540,8009,979,15734,1221,7939,790,8551,822,7605,809,5593,651,7190,653,8504,673,36642,1822,13824,678,4485,569,66795,2420,54723,1729,3294,495,9111,911,12102,799,15201,977,9206,546,3911,573,56205,2077,42815,1660,2683,363,8395,856,10840,889,10463,748,36,37400,2911,14727,8839,8351,123000,3681
59,131843,35484,74272,374,7384,40,9283,5002,4,11139,120700,54936,1591,3647,480,39251,1658,20316,999,4591,516,7466,819,16858,1168,7046,693,6028,591,5359,455,5370,487,8182,717,11022,639,28848,1407,13418,808,4794,566,64613,1843,51635,1345,3573,469,7666,684,11611,768,14146,822,9697,716,4558,499,55580,1854,43044,1445,3355,431,7631,744,10261,738,10897,745,37,31010,14640,11930,17383,14029,120193,3058
60,137307,7678,92591,908,5299,110,14220,16497,4,32326,104979,50131,1918,5520,700,43862,2292,12878,1115,4034,650,8534,1103,20122,1477,15071,1232,9503,969,8411,938,4902,675,6202,645,5259,709,31730,1667,12220,903,6116,793,71140,2474,55736,1796,4056,610,9468,864,12958,1007,14974,1049,7647,777,5225,662,56359,2566,40677,2022,3508,545,8044,947,10507,951,9254,908,38,29988,4315,11761,8687,8080,127499,4239
61,135104,44426,35903,2195,12905,80,14549,25045,1,46035,89068,63954,2278,3851,615,36888,1669,21850,1415,7264,1086,9324,914,19401,1178,7208,697,6464,744,5694,535,4750,614,7933,642,16026,1007,33189,1922,8537,598,5954,752,66607,2097,51876,1519,3811,424,10504,816,13870,1120,13011,921,6284,516,5799,692,64066,2546,49356,1993,4223,577,11339,841,13585,1123,12349,950,39,28297,15819,13788,18058,14149,130673,3888
62,128467,106745,1164,269,8370,37,7996,3886,0,13255,115212,64751,2011,3122,530,42727,1952,39247,1730,6806,994,9211,810,20729,1124,4304,713,4739,533,5818,806,4818,573,9278,770,18437,1063,17556,1289,13459,681,5068,546,70444,1877,55197,1560,4115,508,7958,654,14003,860,14709,926,10771,594,5143,684,66920,1968,51601,1538,3766,572,7628,682,13494,929,14565,895,40,14061,51677,5789,45289,32062,137364,3336
63,131319,77595,11795,637,21823,80,9449,9940,0,21773,109545,62023,2163,3800,583,46980,1743,31797,1599,5651,674,8632,865,18698,1307,6813,722,6773,700,5652,764,5035,463,8413,764,14685,942,22796,1634,14527,689,5929,553,71294,2080,57671,1493,4035,442,9075,746,13403,814,14737,954,11453,555,5610,532,66583,2177,51840,1565,3992,501,9783,787,12440,826,12554,900,41,21250,30406,10910,28065,20741,137877,3722
64,131947,85666,4292,721,21193,42,9605,10427,1,21744,110202,64907,1957,3820,640,44283,1888,27668,1559,7271,748,7593,736,19767,1258,5809,613,7112,736,5797,599,7024,773,9802,830,13845,861,28217,1542,14113,865,4508,550,69260,2212,56074,1686,3247,482,9230,728,12801,809,15422,971,11126,618,5469,594,68491,1825,53358,1481,3847,555,8551,714,12719,891,15493,1011,42,17923,35558,10008,31451,22955,137751,3387
65,145824,60184,9521,425,53560,121,12136,9875,2,22689,123134,65539,2637,4775,689,44377,2554,3329,458,12082,1397,3993,745,11030,1365,16539,1524,9462,1173,5545,879,5386,689,8215,946,16694,1231,48715,2341,14616,1178,7143,799,65595,2678,58393,2218,5959,812,13115,1333,12531,1186,10988,1044,10258,777,5580,793,63162,2942,54944,2451,4435,648,14572,1433,13082,1279,11452,1288,43,33178,10488,20318,15416,13512,128757,4489
66,137997,101127,4613,196,15792,89,11923,4257,0,11860,126137,83234,3377,4567,716,33252,1869,3381,480,21696,1877,4883,602,7475,753,6929,832,4784,646,5451,947,5105,680,8814,945,36436,1895,56901,2840,10734,1075,11266,841,67932,2903,61833,2880,6634,700,17752,1721,12072,1198,10009,985,10489,1091,7440,851,64403,2564,57799,2505,4352,806,15007,1643,14666,1341,10197,954,44,49168,8233,25058,23950,22718,132335,4149
67,155599,102260,8487,416,22975,190,14344,6927,0,18817,136782,77912,3678,4127,982,33515,1897,3370,621,22502,2379,7490,1343,11056,1649,9500,1336,6222,850,5955,694,5083,724,9055,1220,35173,2114,51048,2543,13856,1296,3636,492,68181,3175,59535,2563,2345,380,13772,1443,14767,1525,13504,1424,11034,1106,2614,536,65103,3145,54505,2284,1760,396,10657,1081,16307,1645,13893,1434,45,43957,9080,24630,25875,24313,133284,5435
68,136896,33823,40474,2065,11567,154,16824,31980,9,59001,77889,58991,2427,6364,849,50905,2820,3899,734,8947,989,8398,968,15812,1290,20617,1794,9712,931,7586,926,4565,669,5911,640,11337,921,44655,2262,14560,1460,6304,806,75486,3156,62857,2692,4985,703,12755,1220,16281,1441,12957,1077,8529,1082,5656,659,63741,2630,50752,2228,4287,559,12458,1315,12005,1036,12104,1038,46,36268,7851,19197,13207,11939,139227,4108
69,134191,73336,17074,639,15660,66,14496,12918,2,27357,106832,71002,3644,5247,791,45292,2241,3952,773,17580,2127,7042,1024,10678,1458,10791,1170,5490,969,5302,876,5442,704,8337,970,24803,1687,48236,2789,16384,1103,10265,918,74647,3498,64601,2679,6865,866,13761,1553,12364,1326,11827,1220,12908,1206,6963,728,63579,2614,55066,2394,5099,666,11774,1359,12226,1411,11195,1271,47,51134,6701,29536,18676,17434,138226,5052
70,142483,29247,65456,1154,7852,133,16127,22510,4,40966,101514,70892,2418,7269,844,41322,1837,5423,747,14054,1272,8072,1007,16042,1364,17677,1269,9675,1153,8363,888,6528,750,6780,848,12604,1114,49749,2303,11803,834,5410,700,73087,2457,61656,2121,4673,688,14632,1296,16504,1276,13307,1164,6885,903,5498,689,70181,2785,55072,2200,4388,673,14451,1285,14873,1096,13365,1057,48,42253,5341,25522,10286,9437,143268,3776
71,135202,33213,40035,1691,5622,110,18942,35585,4,59674,75526,70154,2937,8788,1170,40385,2479,4200,747,13028,1766,7387,989,14047,1548,12681,1093,9404,1147,7961,841,5910,798,8563,897,11189,1064,50616,2509,12341,1065,4640,665,72800,2826,61242,2378,3685,582,14350,1274,15225,1424,14686,1361,7340,663,5136,825,66871,2852,55483,2567,3926,663,13259,1310,18518,1518,11230,1143,49,39137,7417,24832,10624,9634,139671,4413
72,125144,25930,13786,1694,2687,106,22380,58557,4,90794,34349,63397,2840,9889,1263,40230,2402,5069,860,7353,1063,7367,942,15469,1784,12560,1157,9164,952,8242,1037,5434,648,7615,829,6112,727,48745,2636,12568,1004,5747,826,70627,3019,57636,2154,4872,784,11342,1230,14792,1133,13187,1012,9140,911,5473,596,64280,3075,52976,2736,4467,541,13270,1376,13681,1452,11412,1050,50,28816,11468,16503,10538,9414,134907,4950
73,141767,107825,3384,151,17735,75,9700,2896,1,10007,131760,73443,3253,3852,772,34596,1750,4294,635,19107,1816,5869,999,10246,1135,6336,929,5867,1075,4241,670,5507,698,8738,855,37538,1894,48907,2601,19595,1493,3846,747,69974,2643,61509,2232,2931,699,14016,1272,12443,1119,11609,1051,13043,1056,3291,780,56844,2733,48996,2361,2880,777,11320,1165,10682,1077,10660,1227,51,46021,14402,16248,36624,34905,126818,4739
74,139027,77329,11386,678,23706,400,13652,11869,7,27290,111735,76171,3185,3268,646,37152,2574,3397,905,20776,2011,5233,826,8556,1254,11500,1360,4756,723,6497,1066,5440,741,9911,1024,29424,1905,50447,2734,13455,1201,7863,958,66290,2905,59968,2724,6072,830,16659,1541,11861,1336,10130,1407,8746,956,6053,925,63542,2901,55357,2538,5072,921,16092,1499,13048,1400,11418,1235,52,43260,9363,24850,20297,18430,129832,4486
75,161245,98858,13001,544,26358,217,13978,8289,0,24278,136966,78523,3111,4761,713,33508,2173,3476,746,18671,1641,4327,770,5968,886,10281,1062,6473,882,7470,1111,5571,790,9836,1097,32620,1815,55136,2549,11969,1116,5326,692,60730,2329,54965,2032,4206,687,15850,1331,11405,1210,10415,1074,10295,1164,4167,788,66054,2991,60903,2563,3512,762,17596,1457,14615,1341,14230,1449,53,40465,9060,23262,20204,18481,126784,4133
76,141343,104574,3723,345,18512,134,10934,3121,0,10973,130370,77785,3438,3237,760,32675,2236,4481,742,19524,2240,7509,910,11157,1278,6892,1069,5584,1041,6447,853,6087,834,10646,1225,33688,2081,53153,2927,15837,1325,4033,1034,72972,2855,62537,2578,3262,998,16488,1501,13973,1284,12206,1280,11311,1137,2498,509,57516,2788,49251,2397,1931,398,12503,1300,12103,1239,10836,1300,54,48494,12465,21940,31990,30201,130488,4733
